Zeile;Gefordert;DokuStatus;Pfade;Vorhanden;CodeStatus
771;SHA256SUMS Datei (im Publish-Job erzeugt).;erledigt;-;-;-
772;GPG Signaturen optional.;offen;-;-;-
773;Release Notes.;offen;-;-;-
774;Installationsanleitung pro OS.;offen;-;-;-
775;Known Issues Liste.;offen;-;-;-
824;Echte Audioaufnahme funktioniert auf Android per USB-C, internem Mic und Bluetooth.;offen;-;-;-
825;Eingangsquelle ist zur Laufzeit ohne Neustart umschaltbar.;offen;-;-;-
826;Statusanzeige zeigt echte Geräte- und Permissionzustände.;offen;-;-;-
827;DSP läuft im echten Audio Callback stabil ohne Dropouts.;offen;-;-;-
828;Latenz wurde auf echter Hardware gemessen und dokumentiert.;offen;-;-;-
829;Whisper transkribiert echte Live-Audioeingaben offline.;offen;-;-;-
830;Reim-Matrix enthält Produktionsdatenbestand.;offen;-;-;-
831;NeuralLift erzeugt aus Foto echte GLB Avatare offline.;offen;-;-;-
832;MediaPipe/MoCap/BVH Pipeline funktioniert offline.;offen;-;-;-
833;Alle UI-Screens aus dem Katalog sind implementiert.;offen;-;-;-
834;Android, Linux, macOS, Windows und Web Artefakte sind echte installierbare Builds.;offen;-;-;-
835;CI/CD erzeugt und veröffentlicht echte signierte Release-Artefakte.;offen;-;-;-
836;Zero-Cloud wurde automatisiert und manuell validiert.;offen;-;-;-
837;Datenschutz-, Lizenz- und Sicherheitsprüfung abgeschlossen.;offen;-;-;-
